Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Time
104.0,-0.48384379119933557,10.940591452551994,-0.5942615774514266,10.878183795290658,45.01161941855814,96.95054248027371,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.0
105.0,-0.5176380902050417,10.931851652578137,-0.5942615774514266,10.878183795290658,45.21655373393109,97.03462685647345,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.015625
106.0,-0.5512747116339981,10.922523391876638,-0.5942615774514266,10.878183795290658,45.418214357900446,97.12438953710756,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.0
107.0,-0.5847434094454733,10.912609511926071,-0.5942615774514266,10.878183795290658,45.61658331642428,97.21980670836732,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.015621
108.0,-0.6180339887498947,10.902113032590307,-0.5942615774514266,10.878183795290658,45.81164317642843,97.32085311777364,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.015632
109.0,-0.6511363089143133,10.891037151198633,-0.5942615774514266,10.878183795290658,46.00337702537738,97.4275020915397,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.015617
110.0,-0.6840402866513374,10.879385241571818,-0.5942615774514266,10.878183795290658,46.191768450349194,97.53972555270666,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.015617
111.0,-0.7167358990906005,10.867160852994404,-0.5942615774514266,10.878183795290658,46.376801516630366,97.65749404000763,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,0.0
112.0,-0.7492131868318241,10.854367709133575,-0.6551909409493204,10.884975522539955,46.55846074584777,97.7807767274123,46.0,97.5,-23.0,-65.0,13.546861
113.0,-0.7814622569785477,10.841009706904881,-0.6551909409493204,10.884975522539955,46.736731093654406,97.9095414443055,46.0,97.5,-23.0,-65.0,0.0
114.0,-0.8134732861516005,10.827090915285202,-0.6551909409493204,10.884975522539955,46.91159792698738,98.04375469625036,46.0,97.5,-23.0,-65.0,23.531272
115.0,-0.8452365234813987,10.8126155740733,-0.9299734935789452,10.857306374413362,47.083047000916416,98.18338168628541,48.0,97.5,-24.0,-65.0,22.990355
116.0,-0.876742293578155,10.797588092598334,-0.9299734935789452,10.857306374413362,47.251064435101675,98.3283863367061,48.0,97.5,-24.0,-65.0,20.577604
117.0,-0.9079809994790934,10.782013048376736,-0.9299734935789452,10.857306374413362,47.41563668988001,98.47873131127817,48.0,97.5,-24.0,-65.0,19.187509
118.0,-0.9389431255717818,10.765895185717854,-0.9299734935789452,10.857306374413362,47.57675054199947,98.63437803783114,48.0,97.5,-24.0,-65.0,19.000022
119.0,-0.969619240492674,10.749239414278792,-0.9299734935789452,10.857306374413362,47.73439306002112,98.79528673118016,48.0,97.5,-24.0,-65.0,18.999999
120.0,-0.9999999999999996,10.732050807568877,-1.017239769519394,10.726703162954529,47.88855157940855,98.96141641632279,48.0,99.0,-24.0,-66.0,8.234403
121.0,-1.0300761498201085,10.714334601404225,-1.017239769519394,10.726703162954529,48.03921367732463,99.13272495185868,48.0,99.0,-24.0,-66.0,0.015675
122.0,-1.0598385284664096,10.696096192312853,-1.017239769519394,10.726703162954529,48.18636714715528,99.30916905357935,48.0,99.0,-24.0,-66.0,0.015639
123.0,-1.0892780700300542,10.677341135890849,-1.017239769519394,10.726703162954529,48.329999972780335,99.49070431817577,48.0,99.0,-24.0,-66.0,0.01561
124.0,-1.1183858069414934,10.658075145110084,-1.017239769519394,10.726703162954529,48.47010030261108,99.67728524701153,48.0,99.0,-24.0,-66.0,0.015624
125.0,-1.1471528727020923,10.638304088577984,-1.1570874989520998,10.626170711946447,48.60665642341391,99.86886526991056,48.627450980392155,100.00000000000003,-24.313725490196077,-66.66666666666669,0.031266
